"","player_name","player_url","Season","Age","Squad","Country","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"61","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2003-2004",18,"Manchester Utd","ENG","1. Premier League",17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2004-2005",19,"Manchester Utd","","1. Champions Lg",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2004-2005",19,"Manchester Utd","ENG","1. Premier League",26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2005-2006",20,"Manchester Utd","","1. Champions Lg",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2005-2006",20,"Manchester Utd","ENG","1. Premier League",25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2006-2007",21,"Manchester Utd","","1. Champions Lg",10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2006-2007",21,"Manchester Utd","ENG","1. Premier League",30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2007-2008",22,"Manchester Utd","","1. Champions Lg",11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2007-2008",22,"Manchester Utd","ENG","1. Premier League",30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2008-2009",23,"Manchester Utd","","1. Champions Lg",11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2008-2009",23,"Manchester Utd","ENG","1. Premier League",30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
